2020 Progressive Metal Albums,,Releases:,563,"Sort by Artist, Vocal Style, or Genre:
Data -> Filter views... -> ...
Or create your own Filter View:
Data -> Filter views... -> Create a new filter view","Collaborators: 
/u/FranticDav
/u/Faceless_Aeons
/u/tapestrymusicpodcast
/u/ickybus",,Images & Words: The Prog Discord,,,,
Emma Ruth Rundle & Thou,May Our Chambers Be Full,October 30,LP,"Doom metal, Sludge metal, Post-rock",Mixed,"Baton Rouge, LA",BC,S,,,
Botanist,Photosynthesis,October 30,LP,"Post-black metal, Avant-garde metal",Mixed,"San Francisco, CA",BC,S,,,
Mr. Bungle,The Raging Wrath Of The Easter Bunny Demo,October 30,LP,"Thrash metal, Alt-metal, Experimental",Mixed,"San Francisco, CA",BC,S,,,
Seven,Interdimensional,October 30,LP,"Prog-metal, Alt-metal, Djent",Mixed,"Las Vegas, NV",BC,S,,,
Scardust,Strangers,October 30,LP,Prog-metal,Mixed,Israel,BC,S,,,
Vale,Our Denouement,October 30,LP,"Post-metal, Atmospheric Black metal",Harsh,"Pittsburgh, PA",BC,,,,
Blind Fate,Blind Fate,October 30,LP,Prog-metal,Instrumental,"London, UK",BC,S,,,
Valor,Right At Home,October 30,LP,Prog-metal,Instrumental,"Asheville, NC",BC,S,,,
Ba'al,Ellipsism,October 30,LP,"Post-metal, Black metal, Sludge metal",Harsh,"Sheffield, UK",BC,S,,,
Wytch Hazel,III: Pentecost,October 30,LP,"Heavy metal, Hard rock, Medieval",Clean,"Lancaster, UK",BC,S,,,
Blighted Eye,Wretched,October 30,EP,"Prog-metal, Death metal",Harsh,"Seattle, WA",BC,S,,,
Nuclear Power Trio,A Clear and Present Rager,October 30,EP,"Prog-metal, Jazz Fusion, Funk",Instrumental,"Denver, CO",BC,S,,,
Hecla,In a World of One's Own,October 30,LP,Prog-metal,Instrumental,"Winnipeg, MB",BC,S,,,
Therein,Aramitama,October 31,LP,Prog-metal,Mixed,"Brisbane, Australia",BC,S,,,
IER,妖怪,October 31,LP,"Prog-metal, Black metal, Experimental",Mixed,"Valentín Alsina, Argentina",BC,S,,,
Red Skywalker,The Origin,November 3,LP,"Melodic, Prog-metal",Clean,"Buenos Aires, Argentina",,S,YT,,
Sólstafir,Endless Twilight of Codependent Love,November 6,LP,"Prog-metal, Post-rock, Psychedelic rock",Mixed,"Reykjavík, Iceland",BC,S,YT,,
Countless Skies,Glow,November 6,LP,"Prog-metal, Melodic Death metal",Mixed,"Hertfordshire, UK",BC,S,,,
Fates Warning,Long Day Good Night,November 6,LP,Prog-metal,Clean,"Hartford, CT",BC,S,YT,,
Deluge,Ægo Templo,November 6,LP,Post-black metal,Harsh,France,BC,S,YT,,
Arcing Wires,Prime,November 6,LP,"Prog-metal, Jazz Fusion, Math rock",Instrumental,"Sydney, Australia",BC,S,,,
Light Dweller,Apparition,November 6,LP,"Dissonant Death metal, Atmospheric Black metal",Harsh,"Tempe, AZ",BC,S,,,
Dark Quarterer,Pompei,November 6,LP,Prog-metal,Clean,"Piombino, Italy",BC,S,,,
Arcana,Letters From A Lost Soul | Act I: The World One Forms,November 6,EP,Prog-metal,Mixed,"Calgary, AB",BC,S,,,
Elvenscroll,Never To Be Mourned,November 6,EP,Folk metal,Mixed,"Kerava, Finland",BC,S,,,
DVNE,Omega Severer,November 6,EP,"Prog-metal, Post-metal, Sludge metal",Mixed,"Edinburgh, UK",BC,S,YT,,
MRTVI,Omniscient Hallucinatory Delusion,November 6,LP,"Experimental Black metal, Avant-garde metal",Harsh,UK,BC,S,,,
Sunyata,The Great Beyond,November 11,LP,"Funeral Doom metal, Post-rock",Mixed,"London, UK",BC,S,,,
Principium,Principium,November 11,LP,"Prog-metal, Power metal",Clean,"Salt Lake City, UT",BC,S,,,
The Chemical Mind,That Benign Terror,November 13,LP,"Prog-metal, Post-metal, Blackgaze",Mixed,"Dallas, TX",BC,S,YT,,
Pyramaze,Epitaph,November 13,LP,"Prog-metal, Power metal",Clean,Denmark,,S,,,
Novarupta,Marine Snow,November 13,LP,"Post-metal, Sludge metal",Mixed,Sweden,BC,S,,,
Katla,Allt þetta Helvítis Myrkur,November 13,LP,"Post-metal, Atmospheric Sludge metal",Mixed,"Reykjavík, Iceland",BC,S,,,
Dark Buddha Rising,Mathreyata,November 13,LP,"Psychedelic Doom metal, Drone metal",Mixed,Finland,BC,S,,,
Intervals,Circadian,November 13,LP,Prog-metal,Instrumental,"Toronto, ON",BC,S,YT,,
Völur,Death Cult,November 13,LP,"Doom metal, Ambient, Folk",Mixed,"Toronto, ON",BC,S,,,
Ok Goodnight,Under The Veil,November 13,EP,"Prog-metal, Prog-rock",Clean,"Boston, MA",BC,S,,,
Alustrium,Insurmountable,November 16,EP,"Prog-metal, Technical Death metal",Harsh,"Philadelphia, PA",BC,S,YT,,
Light Field Reverie,Another World,November 20,LP,"Prog-metal, Doom metal, Post-rock",Mixed,"Gothenburg, Sweden",BC,S,,,
Unverkalt,L' Origine Du Monde,November 20,LP,"Post-metal, Alt-metal, Experimental",Clean,Greece,BC,S,YT,,
Omnivortex,Diagrams of Consciousness,November 20,LP,"Prog-metal, Death metal",Harsh,"Helsinki, Finland",BC,S,,,
Tombs,Under Sullen Skies,November 20,LP,"Black metal, Post-metal, Sludge metal",Harsh,"Brooklyn, NY",BC,S,YT,,
Dark Tranquillity,Moment,November 20,LP,Melodic Death metal,Mixed,"Göteborg, Sweden",,S,,,
Contrarian,Only Time Will Tell,November 20,LP,"Prog-metal, Technical Death metal",Harsh,"Rochester, NY",BC,S,,,
Æolian,The Negationist,November 20,LP,Melodic Death metal,Mixed,"Mallorca, Spain",BC,S,YT,,
Killer Be Killed,Reluctant Hero,November 20,LP,"Alt-metal, Groove metal",Mixed,"Los Angeles, CA",BC,S,,,
Avandra,Skylighting,November 20,LP,Prog-metal,Clean,"San Juan, Puerto Rico",BC,S,,,
Liturgy,Origin of the Alimonies,November 20,LP,"Black metal, Avant-garde metal",Harsh,"Brooklyn, NY",BC,S,,,
Liminal Shroud,Through the False Narrows,November 20,LP,Atmospheric Black metal,Harsh,"Victoria, BC",BC,S,YT,,
Catalyst,Esoterica,November 20,EP,"Melodic Death metal, Thrash metal",Mixed,"Melbourne, Australia",BC,S,,,
Communic,Hiding From the World,November 20,LP,Prog-metal,Clean,"Mandal, Norway",,S,,,
Apterous,Apterous,November 20,EP,"Prog-metal, Death metal",Mixed,"Miami, FL",BC,S,,,
Darcroven,Lethean,November 20,LP,"Avant-garde metal, Black metal, Post-metal",Harsh,"Watertown, CT",BC,,,,
Anderwelt,2084,November 20,LP,"Post-metal, Doom metal, Atmospheric Sludge metal",Mixed,"Linz, Austria",BC,S,,,
Moeror,The Ghosts of Amour Propre,November 25,LP,"Experimental Black metal, Avant-garde metal",Harsh,"Athens, Greece",BC,S,,,
Votum,Duhkha,November 25,EP,Prog-metal,Clean,"Warsaw, Poland",,S,,,
Meadows,Modern Emotions,November 27,LP,"Prog-metal, Alt-rock",Clean,Netherlands,BC,S,,,
Within The Ruins,Black Heart,November 27,LP,"Prog-metal, Deathcore",Harsh,"Westfield, MA",BC,S,,,
Plini,Impulse Voices,November 27,LP,"Prog-metal, Jazz Fusion",Instrumental,"Sydney, Australia ",BC,S,YT,,
Névoa,Towards Belief,November 27,LP,"Psychedelic Black metal, Atmospheric Sludge metal",Harsh,"Porto, Portugal",BC,S,,,
Psycroptic,The Watcher of All,November 27,EP,Technical Death metal,Harsh,"Hobart, Australia",BC,,YT,,
Lunarite,Seclusion,November 27,EP,"Prog-metal, Djent",Instrumental,"Belgrade, Serbia",BC,,YT,,
Ingrina,Siste Lys,November 27,LP,"Post-metal, Atmospheric Sludge metal",Mixed,France,BC,S,,,
Armed Cloud,Torque,November 28,LP,Prog-metal,Clean,Netherlands,BC,S,,,
Ephemeral Sky,Bipolar,November 30,LP,"Post-metal, Black metal, Neofolk",Mixed,"Graz, Austria",BC,S,,,
Rise of Surya,Rise of Surya,November 30,LP,"Prog-metal, Metalcore",Mixed,"Prague, Czech Republic",BC,S,,,
Colossus of Destiny,Last Call,November 30,LP,"Prog-metal, Sludge metal",Mixed,"Paris, France",BC,S,,,
Paul Sadler,Soon To Be Absorbed,December 1,LP,Prog-metal,Clean,"Manchester, UK",BC,S,,,
Respire,Black Line,December 4,LP,"Post-metal, Blackgaze, Screamo",Mixed,"Toronto, ON",BC,S,,,
Cryptodira,The Angel of History,December 4,LP,"Prog-metal, Death metal",Mixed,"New York, NY",BC,S,YT,,
Vanden Plas,The Ghost Xperiment - Illumination,December 4,LP,Prog-metal,Clean,"Kaiserslautern, Germany",,S,,,
Cazador,Acceptance​/​/​Isolation,December 4,LP,"Prog-metal, Post-metal, Sludge metal",Mixed,"Boston, MA",BC,S,,,
Green Druid,At the Maw of Ruin,December 4,LP,"Doom metal, Stoner metal, Psychedelic rock",Mixed,"Denver, CO",BC,S,,,
Burning Palace,Hollow,December 4,LP,"Technical Death metal, Dissonant Death metal",Harsh,"Santa Rosa, CA",BC,S,,,
Druon Antigon,Desontstijging,December 4,LP,"Black metal, Doom metal, Glitch electronica",Harsh,Belgium,BC,S,,,
Show Me A Dinosaur,Plantgazer,December 4,LP,"Post-metal, Blackgaze",Mixed,"Saint Petersburg, Russia",BC,S,,,
Asunojokei,Wishes,December 4,EP,"Post-black metal, Shoegaze",Mixed,"Taito, Japan",BC,S,,,
Dawnwalker,Ages,December 4,LP,"Prog-metal, Post-metal",Mixed,"London, UK",BC,S,YT,,
Growth,The Smothering Arms of Mercy,December 4,LP,Technical Death metal,Mixed,"Melbourne, Australia",BC,S,YT,,
Faith In Ruin,Gaslit Dystopia,December 4,LP,"Prog-metal, Deathcore",Mixed,"Atlanta, GA",BC,S,,,
Old Growth,Mossweaver,December 4,LP,Atmospheric Black metal,Harsh,Germany,BC,S,,,
TDW,The Days The Clock Stopped,December 4,LP,Prog-metal,Clean,"Amersfoort, Netherlands",BC,S,,,
At Odds,At Odds,December 6,LP,"Prog-metal, Math metal, Groove metal",Mixed,"Tacoma, WA",BC,S,,,
Vela Pulsar,Memoirs Of Unbecoming,December 8,LP,Post-black metal,Mixed,"Toronto, ON",BC,S,,,
Yashira,Fail To Be,December 11,LP,"Post-metal, Sludge metal",Harsh,"Jacksonville, FL",BC,S,,,
Daniel Tompkins,Ruins,December 11,LP,Prog-metal,Mixed,UK,BC,S,,,
Boris & Merzbow,2R0I2P0,December 11,LP,"Drone metal, Sludge metal, Noise rock",Mixed,Japan,BC,S,,,
Folterkammer,Die Lederpredigt,December 11,LP,"Black metal, Opera",Mixed,US,BC,S,,,
Devouring Saturn,Fortis Rebis,December 11,LP,Prog-metal,Instrumental,"Toronto, ON",BC,S,,,
Deeds of Flesh,Nucleus,December 11,LP,"Technical Death metal, Brutal Death metal",Harsh,"Los Osos, CA",BC,S,YT,,
Caelestra,Black Widow Nebula,December 11,LP,"Prog-metal, Post-black metal",Mixed,"Bristol, UK",BC,S,,,
Amon Sethis,Part 0 - The Queen With Golden Hair,December 12,LP,"Symphonic, Power",Clean,"Grenoble, France",BC,S,,,
Raat,Raison D'être,December 12,LP,Blackgaze,Harsh,"Delhi, India",BC,,,,
Gardenjia,Egosvm,December 12,LP,"Prog-metal, Avant-garde Death metal",Harsh,"Brindisi, Italy",BC,S,,,
RLND,ZEALAND,December 13,LP,Math,Instrumental,"San Francisco, CA",BC,S,,,
Oceana,The Pattern,December 14,LP,Prog-metal,Mixed,"Rome, Italy",BC,,,,
Einvigi,Sielulintu,December 15,LP,"Blackgaze, Folk metal",Mixed,Finland,BC,S,,,
Scalar,Painting Visions,December 15,LP,Prog-metal,Mixed,Israel,BC,S,,,
Grayceon,Mothers Weavers Vultures,December 18,LP,Prog-metal,Clean,"San Francisco, CA",BC,S,,,
I Legion,Overcome The Tides,December 18,LP,Melodic Death metal,Mixed,"Québec, Canada",BC,S,,,
Locus Neminis,Verborgen in der Zeit,December 18,LP,"Symphonic Black metal, Industrial",Harsh,"Linz, Austria",BC,S,,,
Sacred Bull,Ragged Mountain,December 18,LP,"Post-metal, Doom metal, Shoegaze",Instrumental,"Athens, GA",BC,S,,,
Pillory,Scourge Upon Humanity,December 18,LP,"Technical Death metal, Brutal Death metal",Harsh,"Boston, MA",BC,S,,,
Oracle Sun,Machine Man,December 18,LP,"Prog-metal, Power metal",Clean,"Lucca, Italy",BC,S,,,
Well Haven,Thirty Days: States of Daze,December 18,LP,"Blackgaze, Post-metal, Ambient",Mixed,"Oslo, Norway",BC,S,,,
Royal Hunt,Dystopia,December 18,LP,Prog-metal,Clean,"Copenhagen, Denmark",,S,,,
Iridians,Enuma,December 18,LP,"Prog-metal, Thrash",Harsh,Argentina,,S,YT,,
Foi,Transcendent,December 25,LP,Prog-metal,Instrumental,"Bengaluru, India",BC,S,,,
Morrum,Death of Amazement,December 26,LP,Prog-metal,Mixed,"Sofia, Bulgaria",BC,S,,,
Octavision,Coexist,December 29,LP,Prog-metal,Clean,"Las Vegas, NV",BC,S,,,
Craving for Chaos,Brink of Calamity,December 31,LP,Melodic Death metal,Harsh,"München, Germany",BC,S,,,
