2023 Progressive Rock Albums,,Releases:,1065,"Sort by Artist, Vocal Style, or Genre:
Data -> Filter views... -> ...
Or create your own Filter View:
Data -> Filter views... -> Create a new filter view","Collaborators: 
         FranticDav | Faceless_Aeons
tapestrymusicpodcast | ickybus
  Vortexpro000 | theSmilingCow
   PyroL | Fayiron
Unsinful",,,Images & Words: The Prog Discord,,,
Howlin` Sun,Maxime,May 5,LP,"Blues rock, Hard rock",Clean,"Bergen, Norway",BC,S,,,
Winger,Seven,May 5,LP,"Hard rock, AOR",Clean,"New York, NY",,S,,,
Trevor's Head,A View From Below,May 5,LP,Stoner rock,Clean,UK,BC,S,YT,,
Monika Roscher Bigband ,Witchy Activities And The Maple Death,May 5,LP,"Art rock, Math Jazz, Avant-Pop",Clean,"München, Germany",BC,S,,,
Intercourse,Halo Castration Institute,May 5,LP,"Noise rock, Hardcore",Mixed,"New Haven, CT",BC,S,,,
Last Quokka,Red Dirt,May 5,LP,Punk rock,Clean,"Perth, Australia",BC,S,,,
Sliknita,The Prawn Variant,May 5,EP,Post-rock,Instrumental,"Melbourne, Australia",BC,S,,,
The Bomboras,Songs From Beyond!,May 5,LP,Surf rock,Instrumental,"Los Angeles, CA",BC,S,,,
Plum,Plum,May 5,EP,Indie rock,Clean,"Los Angeles, CA",BC,S,,,
Dez Dare,Critical Mind Dump,May 5,EP,"Fuzz rock, Garage rock",Clean,"Brighton, UK",BC,S,,,
Apex Ten,Aashray,May 5,LP,"Psychedelic rock, Stoner rock, Space rock",Instrumental,Belgium,BC,S,,,
Modern Fools,Strange Offering,May 5,LP,Alt-Country,Clean,"Peterborough, NH",BC,S,,,
Apewards,Akrasia,May 5,LP,Blues rock,Clean,"Marburg, Germany",BC,S,,,
Dead Sea Apes,Rewilding,May 5,LP,"Psychedelic rock, Drone",Instrumental,"Manchester, UK",BC,,,,
Ultra Zook,Auvergnication,May 5,LP,"Prog-rock, Avant-Prog",Clean,France,BC,,,,
Flasher,In My Myth,May 5,EP,Alt-rock,Clean,"Washington, DC",BC,S,,,
Dirk Serries,The Fluctuation Of Being,May 5,LP,"Drone, Ambient, Free Jazz",Instrumental,"Antwerp, Belgium",BC,,,,
Mr Biffo,The Rite of Spring,May 5,LP,"Prog-rock, Electronica",Instrumental,"London, UK",BC,S,,,
Year of October,Keep on Fighting,May 5,LP,"Psychedelic rock, Stoner rock",Clean,"Nashville, TN",BC,S,,,
Marco Minnemann,Their Colors Fade,May 5,LP,"Prog-rock, Jazz Fusion",Clean,"San Diego, CA",BC,,,,
Widower,Alone As A God,May 5,LP,"Post-rock, Post-Hardcore",Mixed,"Massachusetts, MA",BC,S,,,
Death Dance,Blue Light Mass,May 5,LP,"Prog-rock, Math rock, Swancore",Clean,"Detroit, MI",BC,S,,,
The Ascending,The Ascending,May 5,LP,"Prog-rock, Dark rock, Folk rock",Clean,"Nantes, France",BC,S,,,
Marekvist,Varde,May 5,LP,"Prog-rock, Folk rock",Clean,"Kristiansand, Norway",BC,S,,,
Aramid,Bound,May 6,LP,Post-rock,Instrumental,"Seattle, WA",BC,S,,,
Zhaoze,No Answer Blowin' in the Wind,May 6,LP,"Prog-rock, Post-rock, Math rock",Instrumental,"Guangzhou, China",BC,,,,
Ocean Districts,Phantom Islands,May 8,LP,Post-rock,Instrumental,"Tallinn, Estonia",BC,S,,,
Levi Thomas,Shasta,May 9,LP,"Country rock, Blues",Clean,"Oakland, CA",BC,S,,,
K'mono,Mind Out of Mind,May 9,LP,Prog-rock,Clean,"Minneapolis, MN",BC,S,,,
Sleep of Monsters,｢｢｢,May 12,LP,"Gothic rock, Occult rock",Clean,"Helsinki, Finland",BC,S,,,
The Machine,Wave Cannon,May 12,LP,"Stoner rock, Noise rock, Grunge",Clean,"Rotterdam, Netherlands",BC,S,,,
Ekkolodd,Ha det hus!,May 12,LP,"Indie rock, Shoegaze",Clean,"Bergen, Norway",BC,S,,,
Duskwood,The Last Voyage,May 12,LP,"Stoner rock, Desert rock",Clean,"Yeovil, UK",BC,S,,,
Nighthawk,Prowler,May 12,LP,"Hard rock, AOR",Clean,Sweden,BC,S,,,
Chloe Gallardo,Defamator,May 12,LP,"Singer/Songwriter, Indie rock, Shoegaze",Clean,"Los Angeles, CA",BC,S,,,
Midwife & Vyva Melinkolya,Orbweaving,May 12,LP,"Slowcore, Dream Pop, Shoegaze",Clean,USA,BC,S,,,
Sumos,Surfacing,May 12,LP,"Indie rock, Pop",Clean,"Manchester, UK",BC,S,,,
Dragnet,The Accession,May 12,LP,"Post-Punk, Garage rock",Clean,"Melbourne, Australia",BC,S,,,
The Great Gray Funk,The Great Gray Funk,May 12,LP,"Prog-rock, Stoner rock",Clean,"Vienna, Austria",BC,S,,,
Emphasis,Lazaret,May 12,LP,Post-rock,Mixed,"Čakovec, Croatia",BC,S,,,
The Upland Band,Living In Paradise,May 12,LP,Indie rock,Clean,Germany,BC,S,,,
De Forbandede,Menneske,May 12,LP,"Stoner rock, Heavy Psych",Clean,"Odense, Denmark",BC,S,,,
Last Rizla,Noise Without Decay,May 12,LP,"Noise rock, Sludge metal",Harsh,"Athens, Greece",BC,S,YT,,
Wynona,Great Big Room,May 12,LP,Indie rock,Clean,"Laramie, WY",BC,S,,,
Iress,Solace,May 12,EP,"Slowcore, Dream Pop",Clean,"Los Angeles, CA",BC,S,,,
Ritual Howls,Virtue Falters,May 12,LP,"Post-Punk, Darkwave",Clean,"Detroit, MI",BC,S,,,
No Broadcast,The Common Thread,May 12,LP,"Alt-rock, Post-rock, Ambient",Clean,New Zealand,BC,S,,,
The Shattered Mind Machine,Technokrat,May 12,LP,Post-Punk,Clean,"Zurich, Switzerland",BC,S,,,
Hackberry,Breathing Space,May 12,LP,"Prog-rock, Stoner rock, Psychedelic rock",Instrumental,"Groningen, Netherlands",,S,,,
Esben and the Witch,Hold Sacred,May 12,LP,"Post-rock, Ethereal Wave",Clean,"Berlin, Germany",BC,S,,,
Eluvium,(Whirring Marvels In) Consensus Reality,May 12,LP,Ambient,Instrumental,"Portland, OR",BC,S,,,
Island of Love,Island of Love,May 12,LP,"Indie rock, Slacker rock",Clean,"London, UK",BC,S,,,
Join the Din,¿Change!,May 12,LP,Jazz,Instru./Clean,"London, UK",BC,S,,,
Whip,Astral Fire Choirs,May 12,EP,"Punk rock, Alt-rock, Indie rock",Clean,"Utrecht, Netherlands",BC,S,,,
Glass Human,Timelapse,May 13,EP,"Prog-rock, Art rock",Clean,"Denver, CO",BC,S,,,
Mystery,Redemption,May 15,LP,"Prog-rock, Neo-Prog",Clean,"Lorraine, Canada",,S,,,
Hrada,Mirrorland,May 16,LP,"Alt-rock, Progressive Pop",Clean,Norway,BC,S,,,
Son Acido,I,May 18,LP,Psychedelic rock,Instrumental,"Tbilisi, Georgia",BC,S,,,
Dave Foster Band,Glimmer,May 19,LP,"Prog-rock, Neo-Prog",Clean,UK / Netherlands,,S,,,
PONY,Velveteen,May 19,LP,"Alt-rock, Power Pop",Clean,"Toronto, Canada",BC,S,,,
The Parlor,You Are Love And I Am You,May 19,LP,"Neo-Psychedelic, Dream Pop",Clean,"Albany, NY",BC,S,,,
Califone,Villagers,May 19,LP,"Experimental rock, Avant-Folk",Clean,"Los Angeles, CA",BC,S,,,
Magick Touch,Cakes & Coffins,May 19,LP,Hard rock,Clean,"Bergen, Norway",BC,S,,,
Aloud,Apollo 6,May 19,LP,Garage rock,Clean,"Los Angeles, CA",BC,S,,,
Yes,Mirror to the Sky,May 19,LP,Prog-rock,Clean,"London, UK",,S,,,
Fuudge,...qu'un cauchemar devienne si vrai,May 19,LP,"Psychedelic rock, Stoner rock",Clean,"Montreal, Canada",BC,S,,,
Smoke Stack Rhino,The Mojo Funk,May 19,LP,"Psychedelic rock, Blues rock",Clean,"Victoria, Australia",BC,S,,,
Drott,Troll,May 19,LP,Prog-rock,Instrumental,"Bergen, Norway",BC,S,YT,,
Gozu,Remedy,May 19,LP,Stoner rock,Clean,"Boston, MA",BC,S,,,
The Murlocs,Calm Ya Farm,May 19,LP,"Garage rock, Country rock",Clean,"Melbourne, Australia",BC,S,,,
Den Syvende Søn,Alt På Spil,May 19,LP,Pop rock,Clean,Denmark,BC,S,,,
Lockstep,Arrival,May 19,EP,"Post-rock, Doomgaze",Clean,"Nashville, TN",BC,S,,,
Paper Bee,"Thaw, Freeze, Thaw",May 19,LP,"Punk rock, Emo, Indie rock",Clean,"Philadelphia, PA",BC,S,,,
SHRVL,Limbus,May 19,LP,"Electronic, Trip Hop",Instrumental,"Bremervörde, Germany",BC,S,YT,,
Cemented Minds,The Future is the End,May 19,LP,Post-Punk,Clean,"Caen, France",BC,S,,,
FORT,"All is said and Done, We Still Draw Breath",May 19,EP,Post-rock,Instrumental,"Cardiff, UK",BC,S,,,
Steady Hands ,Cheap Fiction,May 19,LP,"Pop Punk, Punk rock",Clean,"Philadelphia, PA",BC,S,,,
Giant The Vine,A Chair at the Backdoor,May 19,LP,"Prog-rock, Post-rock",Instrumental,Italy,BC,S,,,
Horse Jumper of Love,Heartbreak Rules,May 19,LP,"Indie rock, Slowcore",Clean,"Boston, MA",BC,S,YT,,
Fellow Robot,Misanthropioid,May 19,LP,"Prog-rock, Alt-rock",Clean,"Long Beach, CA",BC,S,,,
Lashless Lid,How to Dress in Fate,May 19,EP,Prog-rock,Clean,"Hamburg, Germany",BC,S,,,
Golíat,III,May 19,LP,"Post-rock, Alt-rock",Clean,"Barcelona, Spain",BC,S,,,
The Very Very Danger,Submarine Chase In Outer Space,May 19,LP,Garage rock,Clean,Belgium,BC,S,,,
Ghost,Phantomime,May 19,EP,"Hard rock, AOR",Clean,"Linköping, Sweden",BC,S,,,
Bend the Future,Sounds So Wrong,May 19,LP,"Prog-rock, Jazz rock",Clean,"Grenoble, France",BC,S,,,
Lucid Void,Lucid Void,May 19,LP,"Pyschedelic rock, Krautrock",Instrumental,"Darmstadt, Germany",BC,S,,,
Tinariwen,Amatssou,May 19,LP,"Blues rock, Desert rock, Tishoumaren",Clean,"Tamanghasset, Algeria",BC,S,,,
Sound of Strangers,Crossing Border,May 21,LP,"Prog-rock, Symphonic rock",Clean,Netherlands,BC,S,,,
Soft Power,Raw Bites,May 21,LP,Jazz rock,Instrumental,"Helsinki, Finland",BC,S,,,
Ozul,Provenance,May 25,LP,"Prog-rock, Post-rock",Clean,"Bergen, Norway",BC,S,,,
Sauf les drones,Versions Du Vivant,May 25,LP,"Post-rock, Ambient",Instrumental,"Montreal, Canada",BC,S,,,
AJJ,Disposable Everything,May 26,LP,Indie rock,Clean,"Phoenix, AZ",BC,S,,,
Chain Of Flowers,Never Ending Space,May 26,LP,"Post-Punk, Shoegaze",Clean,"London, UK",BC,S,,,
Moonwalks,Western Mystery Tradition,May 26,LP,Psychedelic rock,Clean,"Detroit, MI",BC,S,YT,,
Godsticks,This Is What A Winner Looks Like,May 26,LP,"Prog-rock, Alt-metal",Clean,UK,BC,S,,,
Yet No Yokai,Wir Sind Da,May 26,LP,Psychedelic rock,Clean,"Lucerne, Switzerland",BC,S,,,
High Desert Queen & Blue Heron,Turned To Stone Chapter 8: The Wake,May 26,LP,Stoner rock,Clean,USA,BC,S,YT,,
The Mon,Eye,May 26,LP,"Psychedelic rock, Drone, Dark Folk",Clean,Italy,BC,S,,,
Low Coast,Existing The Dream,May 26,LP,Alt-Country,Clean,"Los Angeles, CA",BC,S,,,
The Pines of Rome,The Unstruck Bell,May 26,LP,"Slowcore, Math rock",Clean,"Providence, RI",BC,S,,,
Seven Impale,Summit,May 26,LP,"Prog-rock, Jazz rock",Clean,"Bergen, Norway",BC,S,,,
"Shy, Low",Babylonica,May 26,EP,Post-rock,Instrumental,"Richmond, VA",BC,S,,,
Mossaï Mossaï,Faces,May 26,LP,"Post-Punk, Noise rock",Clean,"Tours, France",BC,S,,,
The Dirty Nil,Free Rein to Passions,May 26,LP,Pop Punk,Clean,"Hamilton, Canada",BC,S,,,
Aphir,The Halo Is Shapeless,May 26,LP,Art Pop,Clean,"Melbourne, Australia",BC,S,,,
Ten Jinn,Ardis,May 26,LP,Prog-rock,Clean,"Pennsylvania, PA",BC,S,,,
Mirror Revelations,Aura,May 26,LP,"Krautrock, Noise rock, Shoegaze",Clean,"Toluca, Mexico",BC,S,,,
Hawks,Hawks III,May 26,LP,"Hard rock, Southern rock",Clean,"Louisville, KY",BC,S,,,
You Bred Raptors?,Lysine,May 26,LP,Orchestral Post-rock,Instrumental,"New York, NY",BC,S,,,
Sparks,The Girl Is Crying In Her Latte,May 26,LP,Art Pop,Clean,"Los Angeles, CA",,S,,,
The Great Manta,Ignis Fatuus,May 26,LP,Prog-rock,Clean,"Nottingham, UK",,S,,,
Water From Your Eyes,Everyone's Crushed,May 26,LP,Art Pop,Clean,"Brooklyn, NY",BC,S,,,
Littus,Instrumental State,May 26,LP,Prog-rock,Instrumental,Finland,BC,S,,,
Isolation Tank Ensemble,Heliography,May 26,LP,"Prog-rock, Avant-Prog, Oriental",Instrumental,"Louisville, KY",BC,S,,,
Phoxjaw,notverynicecream,May 26,LP,"Alt-rock, Grunge",Clean,"Bristol, UK",BC,S,,,
JD Power Trio,Ivory Tower,May 26,EP,"Prog-rock, Alt-rock, Grunge",Clean,"München, Germany",BC,S,,,
Flood District,Eden To Carry,May 26,LP,"Alt-rock, Synthpop",Clean,"North Carolina, NC",BC,S,,,
Giants Dwarfs And Black Holes,In A Sandbox Full Of Suns,May 26,LP,"Psychedelic rock, Stoner rock",Clean,"Hessen, Germany",BC,S,,,
The Jack Cades,Something New,May 27,LP,"Indie rock, Garage rock",Clean,UK,BC,S,,,
Astral Magic,Cosmic Energy Flow,May 27,LP,"Psychedelic rock, Space rock",Clean,Finland,BC,S,,,
Thisquietarmy,Hiatus,May 27,LP,"Post-rock, Drone, Ambient",Instrumental,"Montreal, Canada",BC,S,,,
LYF,Chronoscape,May 27,LP,Post-rock,Instrumental,"Madrid, Spain",BC,S,,,
Øresund Space Collective,Everyone is Evil,May 27,LP,"Psychedelic rock, Space rock",Instrumental,"Copenhagen, Denmark",BC,S,,,
Dirt Poor Robins,Prelude to Firebird,May 31,EP,Prog-rock,Clean,"Louisville, KY",BC,S,,,
Monah,Utopija,May 31,LP,Prog-rock,Clean,"Niš, Serbia",BC,S,,,
Falcon Arrow,Patterns In Noise,June 1,LP,Experimental rock,Instrumental,"Minneapolis, MN",BC,S,,,
Sleeping Mountain,Sleeping Mountain,June 1,EP,"Prog-rock, Stoner rock",Clean,"London, UK",BC,S,,,
Pendragon,North Star,June 1,EP,Prog-rock,Clean,UK,BC,,,,
The Revivalists,Pour It Out Into The Night,June 2,LP,Pop rock,Clean,"New Orleans, LA",BC,S,,,
Einar Solberg,16,June 2,LP,"Art rock, Progressive Pop",Clean,"Sandvika, Norway",,S,,,
FRANKIIE,Between Dreams,June 2,LP,"Indie rock, Dream Pop",Clean,"Vancouver, Canada",BC,S,,,
RVG,Brain Worms,June 2,LP,"Indie rock, Jangle Pop",Clean,"Preston, Australia",BC,S,,,
Vulture Feather,Liminal Fields,June 2,LP,"Post-Punk, Art rock",Clean,"Hayfork, CA",BC,S,,,
Lanterns On The Lake,Versions Of Us,June 2,LP,"Indie rock, Dream Pop",Clean,"Newcastle, UK",BC,S,,,
Lars Fredrik Frøislie,Fire Fortellinger,June 2,LP,Prog-rock,Clean,Norway,BC,S,,,
Risin Sabotage,Macabre,June 2,LP,"Psychedelic rock, Stoner rock",Clean,"Kyiv, Ukraine",BC,S,,,
Rival Sons,Darkfighter,June 2,LP,"Prog-rock, Blues rock",Clean,"Long Beach, CA",,S,,,
Protomartyr,Formal Growth In The Desert,June 2,LP,"Post-Punk, Art Punk",Clean,"Detroit, MI",BC,S,,,
Bully,Lucky For You,June 2,LP,"Indie rock, Alt-rock",Clean,"Nashville, TN",BC,S,,,
Starpainter,Rattlesnake Dream,June 2,LP,"Folk rock, Alt-Country",Clean,"Lethbridge, Canada",BC,S,,,
Rancid,Tomorrow Never Comes,June 2,LP,Punk rock,Clean,"Albany, CA",BC,S,,,
Foo Fighters,But Here We Are,June 2,LP,Alt-rock,Clean,"Los Angeles, CA",,S,,,
Gorgeous,Sapsucker,June 2,LP,"Experimental rock, Noise Pop",Clean,"New York, NY",BC,S,,,
strom|morts & Eeli Helin,Communion: Abstract Music For Structural Minds,June 2,LP,"Dark Ambient, Drone",Instrumental,"Vex, Switzerland",BC,,,,
Coffin Prick,Laughing,June 2,LP,Experimental rock,Clean,"Los Angeles, CA",BC,,,,
KNTC,The Great Escape,June 2,LP,Alt-rock,Clean,"Lyon, France",BC,S,,,
Solarium,Aube/Nocturne,June 2,LP,Jazz,Instrumental,"Montreal, Canada",BC,S,,,
Maragda,The Reckless / Evil Seed,June 2,EP,Psychedelic rock,Clean,"Barcelona, Spain",BC,S,,,
The Immortal Samsara Travelers,Hanging Gardens in Glacial Apocha,June 2,LP,"Krautrock, Drone metal, Ritual Ambient",Instrumental,"Antwerp, Belgium",BC,S,,,
JIM,Love Makes Magic,June 2,LP,"Singer/Songwriter, Folk rock",Clean,"Nottingham, UK",BC,S,,,
Nightmare Scenario,In the Event of Emergency,June 2,LP,"Prog-rock, Experimental rock",Clean,"North Carolina, NC",BC,S,,,
Superdark,So Far Out There,June 2,LP,"Psychedelic rock, Indie rock",Clean,"Zürich, Switzerland",BC,S,,,
A Fool's Errand,The Art of Leaving Things Behind,June 2,EP,"Alt-rock, Indie rock",Clean,Netherlands,BC,S,,,
Futureheaven,Colourwaves,June 3,EP,"Dream Pop, Shoegaze",Clean,"Sydney, Australia",BC,S,,,
Soft Kill,Metta World Peace,June 5,LP,"Post-Punk, Indie rock",Clean,"Portland, OR",BC,S,,,
F​/​E​/​A,Anti,June 6,LP,Post-rock,Instrumental,"Mallorca, Spain",BC,S,,,
A Day in Venice,IV,June 6,LP,Prog-rock,Clean,Italy,BC,S,,,
Superbloom,Life's a Blur,June 8,LP,"Alt-rock, Grunge",Clean,"Brooklyn, NY",BC,S,,,
Squid,O Monolith,June 9,LP,"Experimental rock, Art Punk, Post-Punk",Clean,"London, UK",BC,S,YT,,
Dream Wife,Social Lubrication,June 9,LP,"Indie rock, Alt-rock, Grunge",Clean,"London, UK",BC,S,,,
Jason Isbell and the 400 Unit,Weathervanes,June 9,LP,"Alt-Country, Americana",Clean,"Nashville, TN",BC,S,,,
Dead Quiet,IV,June 9,LP,"Stoner rock, Hard rock",Clean,"Vancouver, Canada",BC,S,YT,,
TEKE::TEKE,Hagata,June 9,LP,Psychedelic rock,Clean,"Montreal, Canada",BC,S,,,
Tenhi,Valkama,June 9,LP,"Dark Folk, Post-rock",Clean,"Helsinki, Finland",BC,S,,,
Bo Gritz,Chroma,June 9,LP,"Post-Punk, Noise rock",Clean,"London, UK",BC,S,,,
Tom Lark,Brave Star,June 9,LP,"Alt-Country, Indie Folk",Clean,New Zealand,BC,S,,,
Boys From Heaven,The Descendant,June 9,LP,"Pop rock, AOR",Clean,"Copenhagen, Denmark",BC,S,YT,,
JeGong,The Complex Inbetween,June 9,LP,"Experimental rock, Post-rock",Instrumental,"Bern, Switzerland",BC,S,YT,,
No Lights,Dream Eraser,June 9,LP,Post-Punk,Clean,"San Francisco, CA",BC,S,,,
Joudy,Destroy All Monsters,June 9,LP,"Experimental rock, Post-Grunge",Clean,"New York, NY",BC,S,,,
Lunch Money Life,The God Phone,June 9,LP,"Post-rock, Nu Jazz",Clean,"London, UK",BC,S,,,
Envy of None,"That Was Then, This Is Now",June 9,EP,"Art rock, Art Pop",Clean,Canada,BC,S,,,
Paskinel,Maraude Automnale,June 9,LP,Prog-rock,Instrumental,France,BC,S,,,
Avalanches,Megalithe,June 9,EP,Post-rock,Instrumental,"Nantes, France",BC,S,,,
Crack The Sky,From The Wood,June 9,LP,Prog-rock,Clean,"Weirton, WV",BC,S,,,
The Howling Eye,List Do Borykan,June 9,LP,"Psychedelic rock, Stoner metal, Funk",Mixed,"Gdańsk, Poland",BC,S,,,
The Bronzed Chorus,Aki,June 9,LP,"Post-rock, Math rock, Electronic",Instrumental,"Greensboro, NC",BC,S,,,
Wombo,Slab,June 9,EP,"Post-Punk, Indie Pop",Clean,"Louisville, KY",BC,S,,,
King Howl,Homecoming,June 9,LP,"Blues rock, Stoner rock",Clean,"Cagliari, Italy",BC,S,YT,,
Lachy Doley,A World Worth Fighting For,June 9,LP,Blues rock,Clean,"Sydney, Australia",BC,S,,,
Black Rainbows,Superskull,June 9,LP,Stoner rock,Clean,"Roma, Italy",BC,S,,,
Kevin Galland,From The Mountains To The Sea,June 9,EP,"Indie rock, Acoustic",Clean,Switzerland,BC,S,YT,,
Chris Goudreau,Apocalyptic Love Songs,June 9,LP,"Art rock, Chamber Pop",Clean,"Greenfield, MA",BC,S,,,
Mountains,Old Friends,June 9,LP,"Math rock, Midwest Emo",Clean,South Korea,BC,S,,,
King Krule,Space Heavy,June 9,LP,"Art rock, Neo-Psychedelia",Clean,"Prague, Czechia",BC,S,,,
After-Math,Live In Awe Of Our Dire Existence,June 9,LP,"Post-rock, Math rock, Electronic",Instrumental,"Stockholm, Sweden",BC,S,,,
Falling In A Dream,Spacious Patterns,June 9,LP,Post-rock,Instrumental,"Fargo, ND",BC,S,,,
MÍO,Ingen tid å miste,June 9,LP,Folk rock,Clean,"Oslo, Norway",BC,S,,,
Spoon,Memory Dust,June 13,EP,"Indie rock, Blues rock",Clean,"Austin, TX",BC,S,,,
Porte Lune,A New Place To Be From,June 14,EP,"Post-rock, Alt-rock",Clean,"Paris, France",BC,S,,,
Silver Car Crash,Shattered Shine,June 15,LP,"Post-Punk, Art rock",Clean,"Pittsburgh, PA",BC,S,,,
Homunculus Res,Ecco l'impero dei doppi sensi,June 15,LP,Prog-rock,Clean,"Palermo, Italy",BC,S,,,
Roseneath,Nowhere Safe,June 16,LP,"Alt-rock, Shoegaze, Grunge",Clean,"Richmond, VA",BC,S,YT,,
Gov't Mule,Peace...Like A River,June 16,LP,Blues rock,Clean,"New York, NY",BC,S,,,
Steve Lukather ,Bridges,June 16,LP,"Hard rock, AOR",Clean,"Los Angeles, CA",BC,S,,,
Helen Kelter Skelter,Chroma Crawl,June 16,EP,Psychedelic rock,Clean,"Norman, OK",BC,S,,,
Cheer-Accident,Fringements Two,June 16,LP,"Prog-rock, Avant-Prog",Clean,"Chicago, IL",BC,S,,,
Motorpsycho,Yay!,June 16,LP,"Psychedelic rock, Heavy Psych",Clean,"Trondheim, Norway",BC,S,,,
Actionfredag,Turist i eget liv,June 16,LP,"Prog-rock, Jazz rock",Clean,"Oslo, Norway",BC,S,,,
Queens of the Stone Age,In Times New Roman​.​.​.,June 16,LP,"Alt-rock, Garage rock",Clean,"Palm Desert, CA",BC,S,,,
Heatwaves,Kappa,June 16,LP,"Indie rock, Neo-Psychedelia, Jazz",Clean,"Bergen, Norway",BC,S,,,
Fust,Genevieve,June 16,LP,Country rock,Clean,"Durham, NC",BC,S,,,
Papadosio,To Live A Making,June 16,LP,"Prog-rock, Electronic rock",Clean,"Asheville, NC",BC,S,,,
Pat Metheny,Dream Box,June 16,LP,Jazz Fusion,Instrumental,"New York, NY",,S,,,
Numidia,South Of The Bridge,June 16,LP,Prog-rock,Clean,"Sydney, Australia",BC,S,,,
Sigur Rós ,Átta,June 16,LP,"Post-rock, Ambient Pop",Clean,"Reykjavík, Iceland",BC,S,,,
Heavenward,Pyrophonics,June 16,LP,"Alt-rock, Grunge, Shoegaze",Clean,"Los Angeles, CA",BC,S,,,
Old World Astronaut,Old World Astronaut,June 17,LP,"Psychedelic rock, Stoner rock",Clean,"Bellingham, WA",BC,S,,,
RED32,RED32,June 17,LP,"Prog-rock, Pop rock",Clean,"Hillsboro, OR",BC,S,,,
Terra Black,All Descend,June 19,LP,Stoner rock,Clean,"Gothenburg, Sweden",BC,S,,,
Thunderpaw,Sunwolf Sessions,June 21,EP,"Psychedelic rock, Dream Punk",Clean,"Washington, DC",BC,S,,,
Cory Hanson,Western Cum,June 23,LP,"Singer/Songwriter, Psychedelic Folk",Clean,"Los Angeles, CA",BC,S,,,
Geese,3D Country,June 23,LP,"Art Punk, Indie rock",Clean,"Brooklyn, NY",BC,S,,,
Black Duck,Black Duck,June 23,LP,Improvised rock,Instrumental,"Chicago, IL",BC,S,,,
Swans,The Beggar,June 23,LP,Experimental rock,Clean,"New York, NY",BC,S,,,
Ativin,Austere,June 23,LP,"Post-rock, Math rock",Instrumental,"Nashville, TN",BC,S,,,
Wye Oak,Every Day Like the Last,June 23,LP,"Indie rock, Indie Pop",Clean,"Baltimore, MD",BC,S,,,
Bones and Jones,Love You,June 23,LP,Blues rock,Clean,"Geelong, Australia",BC,S,,,
Wireheads,Potentially Venus,June 23,LP,Indie rock,Clean,"Adelaide, Australia",BC,S,,,
Mammatus,Expanding Majesty,June 23,LP,Psychedelic rock,Clean,"Corralitos, CA",BC,S,,,
The High Water Marks,Your Next Wolf,June 23,LP,"Indie rock, Indie Pop",Clean,"Grøa, Norway",BC,S,,,
CS Cleaners,Drolomon,June 23,EP,Post-Punk,Clean,"Brooklyn, NY",BC,S,,,
Rhùn,Tozïh,June 23,LP,"Prog-rock, Avant-garde, Zeuhl",Clean,"Ernée, France",BC,S,,,
Codex Serafini,The Imprecation Of Anima,June 23,LP,"Psychedelic rock, Cosmic rock",Clean,UK,BC,S,,,
Zim Zum Crash,Dream Surfer,June 23,LP,Art rock,Clean,"Freiburg, Germany",BC,S,YT,,
Sword II,Spirit World Tour,June 23,LP,"Alt-rock, Experimental, Electronic",Clean,"Atlanta, GA",BC,S,,,
Jewelry Exchange,Souvenir,June 23,LP,"Post-Punk, Krautrock, Noise rock",Clean,"Portland, OR",BC,S,,,
Portugal. The Man,Chris Black Changed My Life,June 23,LP,"Pop rock, Indie Pop",Clean,"Portland, OR",,S,,,
Graywolf,Graywolf,June 23,LP,"Alt-rock, Hard rock",Clean,Switzerland,BC,S,,,
Eloy,Echoes From the Past,June 23,LP,"Prog-rock, Symphonic Prog",Clean,"Hannover, Germany",,S,,,
Voyna,And The Heresies​.​.​.,June 23,LP,"Post-Punk, Gothic rock",Clean,"Berlin, Germany",BC,S,,,
Miles Don't Matter,Miles Don't Matter,June 23,LP,"Post-rock, Alt-rock",Clean,Canada/France,,S,,,
Youth Valley,Lullabies For Adults,June 23,LP,"Alt-rock, Post-Punk, Shoegaze",Clean,"Athens, Greece",BC,S,,,
Bueno,I Was A Thing Of Beauty,June 26,LP,Indie rock,Clean,"New York, NY",BC,S,,,
Jupiter,Uinumas,June 26,LP,Psychedelic rock,Clean,Finland,BC,S,,,
Starscream,Shatter The Sky,June 28,EP,Hard rock,Clean,Netherlands,BC,S,,,
Weegee,Primitive Thrill,June 28,LP,Post-Punk,Clean,"Brooklyn, NY",BC,S,,,
All Men Unto Me,In Chemical Transit,June 29,LP,Contemporary Classical,Clean,"Edinburgh, UK",BC,S,,,
Big Big Train,Ingenious Devices,June 30,LP,Prog-rock,Clean,UK,BC,,,,
The Pink Stones,You Know Who,June 30,LP,"Alt-Country, Folk rock",Clean,"Atlanta, GA",BC,S,,,
The Guess Who,Plein D'Amour,June 30,LP,"Hard rock, AOR",Clean,"Winnipeg, Canada",,S,,,
The Foundation,Mask,June 30,LP,"Prog-rock, Symphonic rock",Clean,Netherlands,BC,,,,
Ok Wait,Signal,June 30,LP,Post-rock,Instrumental,"Hamburg, Germany",BC,S,,,
Soft Machine,Other Doors,June 30,LP,"Prog-rock, Jazz rock, Canterbury",Instrumental,"Canterbury, UK",BC,S,,,
epic45,Spring,June 30,LP,"Post-rock, Ambient",Instrumental,"Staffordshire, UK",BC,S,,,
Big Garden,To the Rind,June 30,LP,"Noise rock, Indie rock, Grunge",Clean,"New Orleans, NO",BC,S,YT,,
