2019 Progressive Metal Albums,,Releases:,424,"Sort by Artist, Vocal Style, or Genre:
Data -> Filter views... -> ...
Or create your own Filter View:
Data -> Filter views... -> Create a new filter view","Collaborators: 
/u/FranticDav
/u/Faceless_Aeons
/u/tapestrymusicpodcast
/u/ickybus",,Images & Words: The Prog Discord,,,,,
Hypno5e,A Distant (Dark) Source,November 22,LP,"Prog-metal, Ambient, Experimental, Cinematic",Mixed,France,BC,S,,YT,Az,🍎
Lone Survivors,Ground Zero,November 22,LP,"Prog-metal, Djent, Ambient",Mixed,"Paris, France",BC,S,,YT,Az,
Lapsarian,Ruminant,November 22,EP,"Prog-metal, Black metal, Post-metal, Sludge",Mixed,"Washington, D.C.",BC,S,,YT,Az,
Sleep Token ,Sundowning,November 22,LP,"Prog-metal, Post-metal, Alternative, Ambient",Clean,"London, UK",,S,,YT,Az,🍎
RAPTVRE,Monuments Of Bitterness,November 22,LP,"Prog-metal, Death metal, Black metal, Dissonant",Harsh,"Cologne, Germany",BC,S,,YT,Az,🍎
Being Without,Terra Nova,November 25,EP,Prog-metal,Instrumental,"Kingfisher, OK",BC,S,,YT,Az,
Estuarine,Wisdom of Silenus,November 28,EP,"Experimental, Death metal, Grindcore, Avant-garde",Harsh,"Tampa, FL",BC,S,,YT,Az,🍎
Catatonic Effigy ,Putrid Tendency,November 28,LP,Avant-garde metal,Instrumental,"New York, NY",BC,,,,,
Cattle Decapitation,Death Atlas,November 29,LP,"Prog-metal, Death metal, Grindcore",Harsh,"San Diego, CA",BC,S,,YT,Az,🍎
Öxxö Xööx,Ÿ,November 29,LP,"Avant-garde, Experimental, Doom metal",Mixed,France,BC,S,,YT,Az,🍎
Dimaeon,Void,November 29,LP,"Prog-metal, Death metal, Doom metal",Harsh,"Leeuwarden, Netherlands",BC,S,,YT,Az,
Nòtt,The Great Furnace,November 29,LP,"Prog-metal, Black metal, Atmospheric",Harsh,"Rochester, MN",BC,S,,YT,Az,🍎
Façade,The Eternal Dance,November 29,LP,"Doom metal, Post-metal, Atmospheric",Harsh,"Dordrecht, Netherlands",BC,S,,YT,Az,🍎
Sun of the Dying,The Earth is Silent,November 29,LP,"Doom metal, Death metal",Mixed,"Madrid, Spain",BC,S,,YT,Az,🍎
Third Island,Unspeakable,November 29,LP,"Post-metal, Doom metal, Sludge",Mixed,"Limerick, Ireland",BC,S,,YT,Az,🍎
Forstenet,Ephemeros: Virvar,November 29,LP,"Prog-metal, Prog-rock, Psychedelic",Mixed,"Copenhagen, Denmark",BC,S,,YT,Az,🍎
Sky Shadow Obelisk,The Satyr's Path,December 1,EP,"Prog-metal, Doom metal, Avant-garde",Mixed,"Providence, RI",BC,S,,YT,Az,🍎
Walking Across Jupiter,Sane,December 3,LP,"Prog-metal, Djent, Math metal",Clean,"St. Petersburg, Russia",BC,S,,YT,Az,🍎
Perihelion,Agg,December 6,LP,"Prog-metal, Post-rock, Shoegaze",Clean,"Debrecen, Hungary",BC,S,,YT,Az,🍎
Fen,The Dead Light,December 6,LP,"Prog-metal, Black metal, Atmospheric",Harsh,"London, UK",BC,S,,YT,,🍎
Carcariass,Planet Chaos,December 6,LP,"Progressive Death metal, Technical, Melodic Death metal",Instru./Harsh,France,BC,S,,YT,Az,🍎
Archaeologist,Winter's Wake,December 6,EP,"Instrumental, prog-metal, djent",Instrumental,"San Jose, CA",BC,S,,YT,Az,🍎
At Night I Fly,Mirror Maze,December 6,LP,Prog-metal,Clean,"Budapest, Hungary",BC,S,,,Az,🍎
Feather,Convalescence,December 7,LP,"Prog-metal, Djent, Post-rock",Instrumental,"Dijon, France",BC,S,,YT,Az,🍎
Mimesis,Mimesis,December 9,EP,"Prog-metal, Technical Death Metal",Clean,"Boston, MA",BC,S,,YT,Az,
Widek,The Garden Of Existence,December 9,LP,"Prog-metal, Djent, Atmospheric",Instrumental,"Gdańsk, Poland",BC,S,,YT,Az,🍎
Flaming Row,The Pure Shine,December 10,LP,"Prog-metal, Prog-rock",Clean,Germany,BC,,,,,
Altesia,Paragon Circus,December 11,LP,Prog-metal,Clean,"Bordeaux, France",BC,S,,YT,Az,
Ire & Uprise,Penumbra,December 13,LP,"Prog-metal, Melodic Death metal, Symphonic",Harsh,"Murfreesboro, TN",BC,S,,YT,Az,🍎
In Human Form,III,December 13,LP,"Prog-metal, Black metal, Avant-garde",Harsh,"Lowell, MA",BC,,,,Az,
Horrified,Sentinel,December 13,EP,"Prog-metal, Death metal",Harsh,"Newcastle Upon Tyne, UK",BC,S,,YT,Az,🍎
Ashen Horde,Tintregen,December 15,EP,"Prog-metal, Technical Death Metal, Black Metal",Harsh,"Los Angeles, CA",BC,S,,,Az,🍎
Zac Leaser,The Arising,December 20,LP,"Prog-metal, Technical Death Metal, Cinematic Metal",Mixed,"Fort Worth, TX",BC,S,GP,YT,Az,🍎
The Conjuration,Gospel,December 31,LP,"Prog-metal, Death metal, Avant-garde, Psychedelic",Harsh,"Danville, VA",BC,,,,,
